,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,1,2,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,8,7,6,5,4,2,1
2,2,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,10,8,7,6,5,3,2
3,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,12,9,8,7,6,4,3
4,5,7,8,11,13,15,17,19,21,23,25,27,29,31,33,35,37,14,10,9,8,7,5,4
5,7,8,9,13,15,17,19,21,23,25,27,29,31,33,35,37,39,16,11,10,9,8,6,5
6,8,9,10,15,17,19,21,23,25,27,29,31,33,35,37,39,41,18,13,11,10,9,7,6
7,9,10,11,17,19,21,23,25,27,29,31,33,35,37,39,41,43,20,15,12,11,10,8,7
8,10,11,12,19,21,23,25,27,29,31,33,35,37,39,41,43,45,22,17,13,12,11,9,8
9,11,12,13,21,23,25,27,29,31,33,35,37,39,41,43,45,47,24,19,14,13,12,10,9
10,12,13,14,23,25,27,29,31,33,35,37,39,41,43,45,47,48,26,21,16,14,13,11,10
11,13,14,15,25,27,29,31,33,35,37,39,41,43,45,47,48,49,28,23,18,15,14,12,11
12,14,15,16,26,28,30,32,34,36,38,40,42,44,46,48,49,50,30,25,20,17,15,13,12
13,15,16,17,27,29,31,33,35,37,39,41,43,45,47,49,50,51,32,27,22,19,17,14,13
14,16,17,18,28,30,32,34,36,38,40,42,44,46,48,50,51,52,34,29,24,21,19,15,14
15,,,,,,,,,,,,,,,,,,36,31,26,23,21,16,15
