,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,7,9,15,17,28,31,34,36,38,40,42,44,46,48,50,52,54,25,19,17,9,5,3,2
2,10,13,19,21,33,36,39,41,43,45,47,49,51,53,55,57,59,27,21,19,10,6,4,3
3,14,17,23,25,38,41,44,46,48,50,52,54,56,58,60,62,64,29,23,21,12,7,5,4
4,17,21,27,29,43,46,49,51,53,55,57,59,61,63,65,67,69,31,25,23,14,8,6,5
5,20,25,31,33,48,51,54,56,58,60,62,64,66,68,70,72,74,33,27,25,16,9,7,6
6,23,29,35,37,53,56,59,61,63,65,67,69,71,73,75,77,79,35,29,27,18,11,8,7
7,26,33,39,41,58,61,64,66,68,70,72,74,76,78,80,82,84,37,31,29,20,13,9,8
8,28,37,43,45,63,66,69,71,73,75,77,79,81,83,85,87,89,39,33,31,22,15,10,9
9,30,41,47,50,68,71,74,76,78,80,82,84,86,88,90,92,94,41,35,33,24,17,11,10
10,32,45,51,54,73,76,79,81,83,85,87,89,91,93,95,97,99,43,37,35,26,19,12,11
11,34,49,55,59,78,81,84,86,88,90,92,94,96,98,100,102,104,45,39,37,28,21,13,12
12,36,53,59,64,83,86,89,91,93,95,97,99,101,103,105,107,109,47,41,39,30,23,14,13
13,38,57,63,69,88,91,94,96,98,100,102,104,106,108,110,112,115,49,43,41,32,25,15,14
14,40,61,67,74,93,96,99,101,103,105,107,109,111,112,114,117,120,51,45,43,34,27,16,15
15, , , , , , , , , , , , , , , , , ,53,47,45,37,30,18,16
