,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,5,8,12,14,23,26,29,31,33,35,37,39,41,43,45,48,50,21,17,14,8,4,3,1
2,7,12,16,18,28,31,34,36,38,40,42,44,46,48,50,53,55,23,19,16,10,5,4,2
3,9,16,20,22,33,36,39,41,43,45,47,49,51,53,55,58,60,25,21,18,12,6,5,3
4,12,20,24,26,38,41,44,46,48,50,52,54,56,58,60,63,65,27,23,20,14,7,6,4
5,15,24,28,30,43,46,49,51,53,55,57,59,61,63,65,68,70,29,25,22,16,9,7,5
6,18,28,32,34,48,51,54,56,58,60,62,64,66,68,70,73,75,31,27,24,18,11,8,6
7,21,32,36,36,53,56,59,61,63,65,67,69,71,73,75,78,80,33,29,26,20,13,9,7
8,24,36,40,42,58,61,64,66,68,70,72,74,76,78,80,83,85,35,31,28,22,15,10,8
9,27,40,44,46,63,66,69,70,73,75,77,79,81,83,85,88,90,37,33,30,24,17,11,9
10,29,44,48,50,68,71,74,76,78,80,82,84,86,88,90,93,95,39,35,32,26,19,12,10
11,31,48,52,55,73,76,79,81,83,85,87,89,91,93,95,98,100,41,37,34,28,21,13,11
12,33,52,56,60,78,81,84,86,88,90,92,94,96,98,100,103,105,43,39,36,30,23,14,12
13,35,56,60,65,83,86,89,91,93,95,97,99,101,103,105,108,110,45,41,39,32,25,15,13
14,37,60,64,70,88,91,94,96,98,100,102,104,106,108,110,112,115,47,43,40,34,27,16,14
15, , , , , , , , , , , , , , , , , ,49,45,43,36,29,17,15
