,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,5,9,12,16,18,20,22,25,28,31,33,35,37,39,41,43,45,31,26,19,10,5,3,2
2,8,13,16,18,20,23,25,28,33,34,36,38,40,42,44,46,49,33,28,21,13,7,4,3
3,11,17,20,22,24,28,30,34,39,41,42,44,46,48,50,52,54,35,30,23,15,9,5,4
4,14,21,24,26,28,32,35,40,45,47,49,52,54,56,58,60,62,37,32,25,17,11,7,5
5,17,25,28,30,32,36,40,46,50,53,55,57,59,61,63,65,67,39,34,27,19,13,8,7
6,20,29,32,34,36,40,44,52,56,59,62,64,66,68,70,72,74,41,36,29,21,15,9,8
7,23,33,36,38,40,44,48,57,61,64,66,70,72,74,76,78,80,43,38,31,23,17,10,9
8,26,37,40,42,44,48,52,64,66,68,70,72,74,76,78,80,82,45,40,33,25,19,11,10
9,28,41,44,46,48,52,56,68,70,73,75,80,82,84,86,88,90,47,42,35,27,21,12,11
10,30,45,48,50,52,56,60,72,75,79,81,84,86,88,90,92,94,49,44,37,29,23,13,12
11,32,49,52,54,56,60,64,77,80,83,86,88,90,92,94,96,98,51,46,39,31,25,14,13
12,34,53,56,58,60,64,68,80,82,85,89,91,93,95,97,99,102,53,48,41,33,27,15,14
13,36,56,60,63,65,68,72,86,89,92,94,96,98,100,102,104,106,55,50,43,35,29,17,15
14,38,59,64,67,69,72,78,90,93,96,99,101,103,105,107,109,111,57,52,45,37,31,18,16
15,,,,,,,,,,,,,,,,,,59,54,47,39,33,19,17
