,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,0.97,1.08,1.17,1.24,1.31,1.38,1.43,1.47,1.51,1.55,1.56,1.58,1.6,1.62
1,1,1.11,1.2,1.27,1.34,1.41,1.45,1.5,1.54,1.58,1.59,1.61,1.63,1.64
1.5,1.03,1.14,1.23,1.3,1.37,1.44,1.48,1.53,1.57,1.61,1.62,1.64,1.66,1.67
2,1.06,1.17,1.26,1.34,1.4,1.47,1.51,1.56,1.6,1.64,1.65,1.67,1.69,1.7
2.5,1.09,1.2,1.29,1.38,1.43,1.5,1.54,1.59,1.63,1.67,1.68,1.7,1.72,1.73
3,1.12,1.23,1.32,1.41,1.45,1.53,1.57,1.62,1.66,1.7,1.71,1.73,1.74,1.76
3.5,1.15,1.26,1.35,1.44,1.48,1.56,1.6,1.65,1.69,1.73,1.74,1.76,1.77,1.79
4,1.18,1.29,1.38,1.47,1.51,1.59,1.63,1.68,1.72,1.76,1.77,1.79,1.8,1.82
4.5,1.21,1.32,1.41,1.5,1.54,1.62,1.66,1.71,1.74,1.79,1.8,1.82,1.83,1.85
5,1.24,1.35,1.44,1.53,1.57,1.65,1.69,1.74,1.77,1.83,1.84,1.85,1.87,1.89
5.5,1.27,1.38,1.48,1.56,1.6,1.68,1.72,1.77,1.8,1.86,1.87,1.89,1.9,1.93
6,1.3,1.41,1.5,1.59,1.63,1.71,1.74,1.8,1.83,1.89,1.9,1.93,1.94,1.97
6.5,1.33,1.44,1.53,1.62,1.66,1.74,1.77,1.84,1.86,1.93,1.94,1.97,1.98,2
7,1.36,1.48,1.57,1.65,1.69,1.77,1.8,1.87,1.89,1.97,1.98,2,2.02,2.04
7.5,1.39,1.5,1.6,1.68,1.72,1.8,1.83,1.9,1.92,2.01,2.02,2.04,2.05,2.07
8,1.42,1.53,1.64,1.71,1.76,1.84,1.87,1.94,1.96,2.04,2.05,2.07,2.08,2.1
8.5,1.45,1.57,1.67,1.74,1.8,1.87,1.91,1.98,2,2.07,2.08,2.1,2.11,2.13
9,1.48,1.6,1.7,1.77,1.84,1.9,1.95,2.02,2.04,2.1,2.11,2.13,2.14,2.16
9.5,1.51,1.64,1.74,1.8,1.88,1.94,1.99,2.05,2.08,2.13,2.14,2.16,2.17,2.19
10,1.54,1.68,1.78,1.84,1.92,1.98,2.03,2.08,2.12,2.16,2.17,2.19,2.2,2.22
10.5,1.57,1.72,1.81,1.88,1.96,2.02,2.07,2.11,2.15,2.19,2.2,2.22,2.23,2.24
