,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,5,7,9,11,13,15,17,19,21,23,25,27,29,31
1,6,8,10,12,14,16,18,20,22,24,26,28,30,32
1.5,7,9,11,13,15,17,19,21,23,25,27,29,31,33
2,8,10,12,14,16,18,20,22,24,26,28,30,32,34
2.5,9,11,13,15,17,19,21,23,25,27,29,31,33,35
3,10,12,14,16,18,20,22,24,26,28,30,32,34,36
3.5,11,13,15,17,19,21,23,25,27,29,31,33,35,37
4,12,14,16,18,20,22,24,26,28,30,32,34,36,38
4.5,13,15,17,19,21,23,25,27,29,31,33,35,37,39
5,14,16,18,20,22,24,26,28,30,32,34,36,38,40
5.5,15,17,19,21,23,25,27,29,31,33,35,37,39,41
6,16,18,20,22,24,26,28,30,32,34,36,38,40,42
6.5,17,19,21,23,25,27,29,31,33,35,37,39,41,43
7,18,20,22,24,26,28,30,32,34,36,38,40,42,44
7.5,19,21,23,25,27,29,31,33,35,37,39,41,43,45
8,20,22,24,26,28,30,32,34,36,38,40,42,44,46
8.5,21,23,25,27,29,31,33,35,37,39,41,43,45,47
9,22,24,26,28,30,32,34,36,38,40,42,44,46,48
9.5,24,26,28,30,32,34,36,38,40,42,44,46,47,49
10,26,28,30,32,34,36,38,40,42,44,46,48,49,50
10.5,28,30,32,34,36,38,40,42,44,46,48,50,51,52
