,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,0,0,0,0,0,0,0,0,0,1,2,3,4,5
1,0,0,0,0,0,0,0,0,1,2,3,5,5,6
1.5,0,0,0,0,0,0,0,1,2,3,4,6,6,7
2,0,0,0,0,0,0,1,2,3,4,5,6,7,8
2.5,0,0,0,0,0,1,2,3,4,5,6,7,8,9
3,0,0,0,0,1,2,3,4,5,6,7,8,9,10
3.5,0,0,0,1,2,3,4,5,6,7,8,9,10,11
4,0,0,1,2,3,4,5,6,7,8,9,10,11,12
4.5,0,1,2,3,4,5,6,7,8,9,10,11,12,13
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5.5,2,3,4,5,6,7,8,9,10,11,12,13,14,15
6,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6.5,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7.5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8.5,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9.5,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10.5,12,13,14,15,16,17,18,19,20,21,22,23,24,25
