,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,22,25,28,31,33,35,37,39,41,43,45,47,49,51
1,26,29,32,35,37,39,41,43,45,47,49,51,53,55
1.5,30,33,36,39,41,43,45,47,49,51,53,55,57,59
2,34,37,40,43,45,47,49,51,53,55,57,59,61,63
2.5,38,41,44,47,49,51,53,55,57,59,61,63,65,67
3,42,45,48,51,53,55,57,59,61,63,65,67,69,71
3.5,46,49,52,55,57,59,61,63,65,67,69,71,73,74
4,50,53,56,59,61,63,65,67,69,71,73,75,76,78
4.5,54,57,60,62,64,66,68,70,72,74,76,78,79,80
5,57,60,63,65,67,69,71,73,75,77,79,81,83,84
5.5,60,63,66,68,70,72,74,76,78,80,82,84,86,86
6,63,66,69,71,73,75,77,79,81,83,85,87,88,89
6.5,66,69,72,74,76,78,80,82,84,86,88,90,92,93
7,69,72,75,77,79,81,83,85,87,89,91,93,94,95
7.5,72,75,78,80,82,84,86,88,90,92,94,96,97,98
8,75,78,81,83,85,87,89,91,93,95,97,99,100,101
8.5,78,81,84,86,88,90,92,94,96,98,100,102,103,104
9,81,84,87,89,91,93,95,97,99,101,103,105,106,107
9.5,84,87,90,92,94,96,98,100,102,104,106,108,109,110
10,87,90,93,95,97,99,101,103,105,107,109,111,113,115
10.5,90,93,96,99,101,103,105,107,109,111,113,115,117,119
