,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,18,21,24,27,30,32,34,36,38,40,42,44,46,48
1,22,25,28,31,34,36,38,40,42,44,45,48,50,52
1.5,26,29,32,35,37,40,42,44,46,48,49,52,54,56
2,30,33,36,39,41,44,46,58,50,52,53,56,58,60
2.5,34,37,40,43,45,48,50,52,54,56,57,60,62,64
3,38,41,44,47,49,52,54,56,58,60,61,64,66,68
3.5,42,45,48,51,53,56,58,60,62,64,65,68,70,72
4,46,49,52,55,57,59,61,63,65,67,69,71,73,75
4.5,49,52,55,58,60,62,64,66,68,70,72,74,76,78
5,52,55,58,61,63,65,67,69,71,73,75,77,79,81
5.5,55,58,61,64,66,68,70,72,74,76,78,80,82,84
6,58,61,64,67,69,71,73,75,77,79,81,83,85,87
6.5,61,64,67,70,72,74,76,78,80,82,84,86,88,90
7,64,67,70,73,75,77,79,81,83,85,87,89,91,93
7.5,67,70,73,76,78,80,82,84,86,88,90,92,94,96
8,70,73,76,79,81,83,85,87,89,91,93,95,97,99
8.5,73,76,79,82,84,86,88,90,92,94,96,98,100,102
9,76,79,82,85,87,89,91,93,95,97,99,101,103,105
9.5,79,82,85,88,90,92,94,96,98,100,102,104,106,108
10,82,85,88,91,93,95,97,99,101,103,105,107,109,112
10.5,85,88,91,94,96,98,100,102,104,106,108,110,113,115
