,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,1.15,1.3,2,3.1,3.9,4.7,5.4,5.9,6.5,7,7.4,7.7,8,8.3
1,1.4,1.65,2.7,3.2,4.2,5,5.7,6.2,6.8,7.3,7.7,8,8.3,8.55
1.5,1.6,2,3,3.4,4.5,5.3,6,6.5,7.1,7.6,8,8.3,8.6,8.8
2,1.8,2.55,3.3,3.6,4.8,5.6,6.3,6.8,7.4,7.9,8.3,8.6,8.9,9.05
2.5,2,2.75,3.6,3.9,5.1,5.9,6.6,7.1,7.7,8.2,8.6,8.9,9.2,9.3
3,2.3,3,3.9,4.1,5.4,6.2,6.9,7.4,8,8.5,8.9,9.2,9.5,9.6
3.5,2.6,3.3,4.2,4.9,5.7,6.5,7.2,7.7,8.3,8.8,9.2,9.5,9.8,9.9
4,2.8,3.55,4.45,5.2,5.95,6.75,7.45,7.95,8.55,9.05,9.45,9.8,10.05,10.2
4.5,3,3.8,4.7,5.5,6.2,7,7.7,8.2,8.8,9.3,9.7,10.1,10.3,10.5
5,3.2,4.05,4.95,5.75,6.45,7.25,7.95,8.45,9.05,9.55,9.95,10.35,10.55,10.8
5.5,3.45,4.3,5.2,6,6.7,7.5,8.2,8.7,9.3,9.8,10.2,10.6,10.8,11.1
6,3.7,4.55,5.45,6.25,6.95,7.75,8.45,8.95,9.55,10.05,10.45,10.85,11.05,11.35
6.5,3.95,4.8,5.7,6.5,7.2,8,8.7,9.2,9.8,10.3,10.7,11.1,11.3,11.6
7,4.2,5.05,5.95,6.75,7.45,8.25,8.95,9.45,10.05,10.55,10.95,11.35,11.55,11.85
7.5,4.45,5.3,6.2,7,7.7,8.5,9.2,9.7,10.3,10.8,11.2,11.6,11.8,12.1
8,4.7,5.55,6.45,7.25,7.95,8.75,9.45,9.95,10.55,11.05,11.45,11.85,12.05,12.35
8.5,4.95,5.8,6.7,7.5,8.2,9,9.7,10.2,10.8,11.3,11.7,12.1,12.3,12.6
9,5.2,6.05,6.95,7.75,8.45,9.25,9.95,10.45,11.05,11.55,11.95,12.35,12.55,12.85
9.5,5.45,6.3,7.2,8,8.7,9.5,10.2,10.7,11.3,11.8,12.2,12.6,12.8,13.1
10,5.7,6.55,7.45,8.25,8.95,9.75,10.45,10.95,11.55,12.05,12.45,12.85,13.05,13.35
10.5,5.95,6.8,7.7,8.5,9.2,10,10.7,11.2,11.8,12.3,12.7,13.1,13.3,13.6
