,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,1.2,1.9,2.3,2.9,3.4,3.9,4.3,4.7,4.9,5.1,5.3,5.4,5.5,5.6
1,1.4,2.1,2.5,3.1,3.6,4.1,4.5,4.9,5.1,5.3,5.5,5.6,5.7,5.8
1.5,1.6,2.3,2.7,3.3,3.8,4.3,4.7,5.1,5.3,5.5,5.7,5.8,5.9,6
2,1.8,2.5,2.9,3.5,4,4.5,4.9,5.3,5.5,5.7,5.9,6,6.1,6.2
2.5,2,2.7,3.1,3.7,4.2,4.7,5.1,5.5,5.7,5.9,6.1,6.2,6.3,6.4
3,2.1,2.85,3.25,3.85,4.35,4.85,5.25,5.65,5.85,6.05,6.25,6.35,6.45,6.55
3.5,2.3,3,3.4,4,4.5,5,5.4,5.8,6,6.2,6.4,6.5,6.6,6.7
4,2.45,3.15,3.55,4.15,4.65,5.15,5.55,5.95,6.15,6.35,6.55,6.65,6.75,6.85
4.5,2.6,3.3,3.7,4.3,4.8,5.3,5.7,6.1,6.3,6.5,6.7,6.8,6.9,7
5,2.75,3.45,3.85,4.45,4.95,5.45,5.85,6.25,6.45,6.65,6.85,6.95,7.05,7.15
5.5,2.9,3.6,4,4.6,5.1,5.6,6,6.4,6.6,6.8,7,7.1,7.2,7.3
6,3.05,3.75,4.15,4.75,5.25,5.75,6.15,6.55,6.75,6.95,7.15,7.25,7.35,7.45
6.5,3.2,3.9,4.3,4.9,5.4,5.9,6.3,6.7,6.9,7.1,7.3,7.4,7.5,7.6
7,3.35,4.05,4.45,5.05,5.55,6.05,6.45,6.85,7.05,7.25,7.45,7.55,7.65,7.75
7.5,3.5,4.2,4.6,5.2,5.7,6.2,6.6,7,7.2,7.4,7.6,7.7,7.8,7.9
8,3.65,4.35,4.75,5.35,5.85,6.35,6.75,7.15,7.35,7.55,7.75,7.85,7.95,8.05
8.5,3.8,4.5,4.9,5.5,6,6.5,6.9,7.3,7.5,7.7,7.9,8,8.1,8.2
9,3.95,4.65,5.05,5.65,6.15,6.65,7.05,7.45,7.65,7.85,8.05,8.15,8.25,8.35
9.5,4.1,4.8,5.2,5.8,6.3,6.8,7.2,7.6,7.8,8,8.2,8.3,8.4,8.5
10,4.25,4.95,5.35,5.95,6.45,6.95,7.35,7.75,7.95,8.15,8.35,8.45,8.55,8.65
10.5,4.4,5.1,5.5,6.1,6.6,7.1,7.5,7.9,8.1,8.3,8.5,8.6,8.7,8.8
