,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,14,16,18,20,22,25,28,31,33,35,37,39,41,43
1,16,18,20,23,26,28,30,33,35,37,39,41,43,45
1.5,18,20,22,26,28,30,33,35,37,42,45,47,49,51
2,20,22,24,28,30,33,35,37,39,47,49,51,53,55
2.5,22,24,26,30,33,35,37,40,44,49,53,55,57,59
3,24,26,28,33,35,37,39,45,47,53,57,59,61,63
3.5,26,28,30,35,37,40,42,48,50,56,59,62,64,68
4,28,30,33,39,40,44,45,52,55,59,61,64,68,72
4.5,30,33,36,42,44,47,49,56,57,62,66,70,72,76
5,33,36,39,45,47,50,53,60,59,65,72,74,76,78
5.5,36,39,42,48,50,54,57,64,66,70,74,76,78,80
6,39,42,45,51,54,58,61,66,68,73,77,79,81,83
6.5,42,45,48,54,58,62,65,70,72,76,80,82,84,86
7,45,48,51,57,62,66,69,74,77,80,83,85,87,89
7.5,48,51,54,60,66,70,73,76,80,84,86,88,90,92
8,51,54,57,63,70,74,77,80,83,87,89,91,93,95
8.5,54,57,60,66,74,78,81,83,86,90,92,94,96,98
9,57,60,63,69,78,82,84,87,89,92,95,97,99,101
9.5,60,63,66,72,82,86,88,91,93,95,98,100,102,104
10,64,66,69,75,86,90,92,95,97,99,101,103,105,107
10.5,67,69,72,78,90,93,96,99,101,103,105,107,109,111
