,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,16,19,21,23,25,28,30,32,34,36,38,41,44,47
1,18,21,23,25,27,30,32,34,36,39,41,44,47,50
1.5,20,23,25,27,29,32,34,36,39,41,44,47,50,53
2,22,25,27,29,31,34,36,38,41,44,47,50,53,56
2.5,24,27,29,31,33,36,38,40,43,47,50,53,56,59
3,26,29,31,33,35,38,40,42,45,50,53,56,59,62
3.5,28,31,33,35,37,40,42,44,47,53,56,59,62,65
4,30,33,35,37,39,42,44,46,49,56,59,62,65,68
4.5,32,35,37,39,41,45,47,49,52,59,62,65,68,71
5,35,38,40,42,43,48,50,52,55,62,65,68,71,74
5.5,38,41,43,44,46,51,53,55,58,65,68,71,74,77
6,41,44,46,47,49,53,55,57,61,68,71,74,77,80
6.5,44,47,49,50,53,56,58,60,64,71,74,77,80,83
7,47,50,52,53,57,59,61,63,66,74,77,80,83,86
7.5,50,53,55,56,60,62,64,66,69,77,80,83,86,89
8,53,56,58,60,64,65,67,70,72,80,83,86,89,92
8.5,56,58,60,62,67,68,70,74,76,83,86,89,92,95
9,59,60,62,65,70,71,73,78,80,86,89,92,95,98
9.5,61,62,64,68,74,74,76,80,84,89,92,95,98,101
10,63,65,67,72,76,78,80,82,88,92,95,98,101,104
10.5,66,68,70,74,79,82,86,89,92,95,98,101,104,107
